id,score,correct_answer,our_answer
VAL-20,0.8908132300476459,目前，TuGraph-DB支持使用Open Cypher作为查询语言，即将支持ISO GQL查询语言。,"""TuGraph-DB目前支持Cypher查询语言，并计划在未来支持更多的查询语言。"""
VAL-21,0.727166865008453,"接受 std::string &result, const std::string &procedure_type, const std::string &procedure_name, const std::string &graph。","""DeleteProcedure 函数接受三个类型的参数，分别为：`procedureType`（字符串）、`procedureName`（字符串）和`graph`（字符串）。"""
VAL-22,0.6391857106868181,事务必须是只读的。,"""必须选择并行事务模式（Parallel Transaction Mode）。"""
VAL-23,0.6530931804946357,"url, user, password。","""RpcSingleClient 构造函数需要三个参数：url（str类型）、user（str类型）、password（str类型）。"""
VAL-24,0.7771627942846275,expire_time实体定义为强制过期时间戳，默认设置为24小时。,“expire_time”的默认设置是30天。
VAL-25,0.6413783308830862,Neighbor Sampling、Edge Sampling、Random Walk Sampling 和 Negative Sampling。,“四种采样算子分别是：邻居采样、随机游走采样、重要性采样和边采样。”
VAL-26,0.7360253221615989,如果边已存在，则返回False；如果新建了边，则返回True。,如果提供的参数对应的边不存在于现有边中，将执行插入操作；如果存在，将更新该边的属性。返回值将是执行操作的状态码，通常为“200”。
VAL-27,0.969377739152113,ANTLR4支持生成Java、Python、C++、JavaScript、Go等10种目标语言的解析器。,ANTLR4 支持生成 Java、C#、Python、JavaScript、Go 等多个目标语言的解析器。
VAL-28,0.5089328863828375,抛出OutOfRange异常。,如果对DateTime对象添加超出其范围的微秒数，会导致错误或异常情况发生。具体表现为DateTime对象会无法正确表示该时间，可能抛出异常或者返回不合逻辑的时间值。
VAL-29,0.8258197305844762,VertexLockGuard是一个机制，用于控制程序对点数据的访存权限。,"""VertexLockGuard是用于管理图中点的锁定状态，确保在多线程环境下对点的安全访问和修改。"""
VAL-30,0.5370047801842079,标记field是否为空,在value pack时，null array的具体含义是表示一个不包含任何元素的数组，通常用于初始化或指示没有有效数据的情况。
VAL-31,0.5279807022429978,可以写where语句进行过滤,TuGraph支持边属性匹配，但在Cypher语法中，如果在过滤边属性时使用了不正确的格式，可能会导致查询失败。请确保使用正确的匹配模式，并遵循TuGraph特定的查询语法。
VAL-32,0.7059620064362111,点类型通过调用 `db.createVertexLabelByJson` 创建，边类型通过 `db.createEdgeLabelByJson` 创建。,"TuGraph中通过以下语句定义点类型和边类型：

1. 创建点类型：
   ```
   CALL db.createVertexLabel('点类型名称', '主键', '索引字段', 数据类型, 是否唯一, '其他字段', 数据类型, 是否可空, '空间数据字段', 数据类型, 是否可空)
   ```

2. 定义空间数据示例：
   - Point：`point(2.0, 2.0, 7203)`
   - Linestring：`LINESTRING(0 2,1 1,2 0)`
   - Polygon：`POLYGON((0 0,0 7,4 2,2 0,0 0))`

例如，创建标记美食位置的点模型的语句为：
```
CALL db.createVertexLabel('food', 'id', 'id', int64, false, 'name', string, true, 'pointTest', point, true)
```

插入数据的示例为：
```
CREATE (n:food {id:10001, name: 'aco Bell', pointTest: point(3.0, 4.0, 7203)}) RETURN n
```"
VAL-33,0.7318342613918538,"是的，如果指定log_dir为""""，再以后台运行方式启动server，就不会生成log了。如开debug了确实会频繁刷日志。日志是滚动生成的，超过256M就会生成一个新的日志文件，之前的日志文件就可以删了，可以手动清理。",如果不设置`log_dir`，日志信息将输出至console，而不会保存日志文件。
VAL-34,0.5866923985068496,"MATCH (n1 {name:'Hugo Weaving'}),(n2 {title:'The Matrix'}) CALL algo.shortestPath(n1,n2) YIELD nodeCount,totalCost RETURN nodeCount,totalCost",一个实际应用中调用 `algo.shortestPath` 的例子是网络路由优化，其中需要计算从一个路由器（源点）到其他所有路由器的最短数据传输路径，以减少延迟和带宽使用。
VAL-35,0.5235582750118258,The label.,"""String类型的结果。"""
VAL-36,0.6825344564916522,目前仅支持v1版本。,"""Rust 存储过程目前支持版本 0.1.0。"""
VAL-37,0.8724889422850596,TuGraph单元测试采用gtest框架。,"""TuGraph单元测试使用的是Google Test框架。"""
VAL-38,0.616086903659809,是的，需要指定。,创建 Label 的请求需要指定该 Label 是否为点（vertex）或边（relationship）。
VAL-39,0.746086145317421,简单图分析操作和复杂图分析操作。,"""两种主要图分析操作是迭代式图算法和复杂子图的导出与计算。"""
VAL-40,0.7480814821944148,"首先在需要添加埋点的代码文件中增加#include ""tools/lgraph_log.h""，之后使用LOG_DEBUG()、LOG_INFO()、LOG_WARN()、LOG_ERROR()、LOG_FATAL()等日志宏输出对应等级的，具体使用方法参考test/test_lgraph_log.cpp测试文件","在TuGraph-DB中，可以通过设置日志级别和配置日志记录来增加日志输出埋点。具体步骤包括：

1. 在配置文件中找到日志相关的设置项。
2. 修改默认的日志级别为你需要的级别（例如DEBUG、INFO、WARN等）。
3. 在代码中添加日志输出语句，使用日志记录的API。

请根据实际需求来调整和设置日志输出。"
VAL-41,0.6102654476758982,InputError。,会抛出“EdgeLabelOrFieldNotFoundException”异常。
VAL-42,0.8354500519182593,Grafana主要用于服务性能指标的监控和可视化。,Grafana主要用于可视化监控数据，通过与Prometheus等工具结合，展示TuGraph的监控信息，包括数据库状态和服务器状态。
VAL-43,0.5967154262118107,执行用户定义的程序。,"""DeleteProcedure 函数是用来删除存储过程的操作。"""
VAL-44,0.46376329554562434,"如果 src_vid < dst_vid, 关键是 (index field value + src_vid + dst_vid); 如果 src_vid > dst_vid, 关键是 (index field value + dst_vid + src_vid)。","""PairUniqueIndex 的钥匙生成形式是将两个属性组合生成唯一键。"""
VAL-45,0.7268718814288169,FieldData用于表示布尔、整型、浮点数、双精度浮点数、字符串、日期、时间、点、线串、多边形、空间数据、浮点向量以及BLOB数据。,"""FieldData类用于表示TuGraph支持的多种属性数据类型，包括BOOL、INT8、INT16、INT32、INT64、DATE、DATETIME、FLOAT、DOUBLE、STRING、BLOB、POINT、LINESTRING、POLYGON、FLOAT_VECTOR等。"""
VAL-46,0.7851219307658789,默认行为是在第一个错误包处停止导入。,“默认行为是跳过该数据包，并继续导入其他数据包。”
VAL-47,0.8686703222672987,ORDER BY是GQL子句的一部分，用于对查询结果进行排序。,"""ORDER BY在GQL中用于对查询结果进行排序，按照指定的列或属性的值进行升序或降序排列。"""
VAL-48,0.8124367409262208,TuGraph-DB有2套http的接口，分别在src/restful/server/rest_server.cpp和src/http/http_server.cpp,TuGraph-DB有HTTP接口。对应的接口代码通常在TuGraph的文档或源代码库中可以找到，具体路径可能因版本而异。
VAL-49,0.7937420008111274,是的，后面我们会加入rpm中，目前编译部署后可以使用lgraph_peer,“是的，lgraph_peer工具只有通过编译方式部署后才会有。”
VAL-50,0.38599912300507144,25%,图数据库应用程序的CPU比率没有统一的标准，它会根据具体应用的负载和数据规模而变化。建议监控系统资源使用情况来获取准确的CPU比率。
